*implies latency per page (# cycles),,,,
func,rocket_small,rocket,boom,freedom
SM_create(hash)*,7285774.246667,4376973.890000,3949249.190000,2002041.885000
SM_create(etc),23245.900000,19957.900000,17302.800000,30796.750000
SM_destroy(clean)*,7909.204993,6348.659705,4284.724780,11151.120001
SM_destroy(etc),3543.800000,3278.200000,3550.000000,5416.850000
SM_attest(sign),1596854.900000,1255440.900000,727680.300000,1018060.800000
SM_attest(etc),6504.500000,5442.200000,4996.600000,6739.800000
RT_boot,17318.400000,14024.800000,13111.700000,13429.500000
RT_freemem_init*,299.396778,208.818990,217.626832,258.401623
OS_allocate*,11401.299377,11236.298999,9063.585742,20766.618933
user(host)_page_allocate,15693.153571,12576.114286,11118.303571,18324.736957
SM_context_switch,2608.000000,2430.900000,2661.800000,1887.550000
